Psat,Tsat,vf,vfg,vg,uf,ufg,ug,hf,hfg,hg,sf,sfg,sg
40,-50.3,0.001424,2.6792,2.6806,-35.13,1319.7,1284.5,-35.1,1426.8,1391.8,0.0498,6.4025,6.4523
45,-48.3,0.001429,2.3997,2.4012,-24.97,1312,1287,-24.9,1420,1395.1,0.0952,6.3153,6.4105
50,-46.5,0.001433,2.1745,2.1759,-15.85,1305.1,1289.3,-15.8,1413.9,1398.1,0.1356,6.2376,6.3732
55,-44.8,0.001437,1.9892,1.9906,-7.59,1298.9,1291.3,-7.5,1408.3,1400.8,0.172,6.1676,6.3396
60,-43.2,0.001441,1.8336,1.8351,0,1293.2,1293.2,0.1,1403.3,1403.3,0.2051,6.1037,6.3088
65,-41.8,0.001445,1.7014,1.7028,7.01,1288,1295,7.1,1398.6,1405.7,0.2355,6.0451,6.2806
70,-40.4,0.001448,1.5871,1.5886,13.8,1282.8,1296.6,13.9,1393.9,1407.8,0.2648,5.9897,6.2544
75,-39.1,0.001451,1.4879,1.4893,19.93,1278.2,1298.1,20,1389.8,1409.8,0.291,5.9391,6.2301
80,-37.9,0.001455,1.4007,1.4021,25.69,1273.9,1299.6,25.8,1385.9,1411.7,0.3156,5.8919,6.2075
85,-36.8,0.001458,1.3235,1.3249,31.14,1269.8,1300.9,31.3,1382.3,1413.5,0.3387,5.8475,6.1862
90,-35.7,0.00146,1.2545,1.256,36.3,1265.9,1302.2,36.4,1378.8,1415.2,0.3605,5.8057,6.1661
95,-34.6,0.001463,1.1925,1.194,41.22,1262.2,1303.4,41.4,1375.5,1416.8,0.3812,5.766,6.1471
100,-33.6,0.001466,1.1367,1.1381,45.92,1258.6,1304.6,46.1,1372.3,1418.4,0.4008,5.7284,6.1292
120,-29.9,0.001476,0.9582,0.9596,62.87,1245.8,1308.7,63,1360.8,1423.8,0.471,5.5943,6.0654
140,-26.7,0.001485,0.8292,0.8307,77.55,1234.6,1312.2,77.8,1350.7,1428.5,0.531,5.4805,6.0115
160,-23.8,0.001493,0.7315,0.733,90.59,1224.6,1315.2,90.8,1341.7,1432.5,0.5836,5.3813,5.9649
180,-21.2,0.0015,0.6549,0.6564,102.36,1215.6,1317.9,102.6,1333.5,1436.1,0.6306,5.2932,5.9237
200,-18.9,0.001507,0.5931,0.5946,113.12,1207.2,1320.4,113.4,1325.9,1439.3,0.6731,5.2139,5.887
220,-16.7,0.001513,0.5422,0.5437,123.05,1199.5,1322.5,123.4,1318.8,1442.2,0.712,5.1418,5.8538
