Psat,Tsat,vf,vfg,vg,uf,ufg,ug,hf,hfg,hg,sf,sfg,sg
40,-50.3,0.001424,2.6792,2.6806,-35.13,1319.7,1284.5,-35.1,1426.8,1391.8,0.0498,6.4025,6.4523
45,-48.3,0.001429,2.3997,2.4012,-24.97,1312,1287,-24.9,1420,1395.1,0.0952,6.3153,6.4105
45.8,-48,0.001429,2.3606,2.3621,-23.45,1310.9,1287.4,-23.4,1419,1395.6,0.102,6.3023,6.4043
50,-46.5,0.001433,2.1745,2.1759,-15.85,1305.1,1289.3,-15.8,1413.9,1398.1,0.1356,6.2376,6.3732
51.4,-46,0.001434,2.1192,2.1206,-13.47,1303.3,1289.9,-13.4,1412.3,1398.9,0.1461,6.2173,6.3635
55,-44.8,0.001437,1.9892,1.9906,-7.59,1298.9,1291.3,-7.5,1408.3,1400.8,0.172,6.1676,6.3396
57.5,-44,0.001439,1.9067,1.9081,-3.65,1296,1292.3,-3.6,1405.7,1402.1,0.1892,6.1344,6.3236
60,-43.2,0.001441,1.8336,1.8351,0,1293.2,1293.2,0.1,1403.3,1403.3,0.2051,6.1037,6.3088
64.3,-42,0.001444,1.7192,1.7207,6.03,1288.7,1294.7,6.1,1399.2,1405.3,0.2312,6.0533,6.2845
65,-41.8,0.001445,1.7014,1.7028,7.01,1288,1295,7.1,1398.6,1405.7,0.2355,6.0451,6.2806
70,-40.4,0.001448,1.5871,1.5886,13.8,1282.8,1296.6,13.9,1393.9,1407.8,0.2648,5.9897,6.2544
71.6,-40,0.001449,1.553,1.5545,15.86,1281.3,1297.1,16,1392.5,1408.5,0.2736,5.9727,6.2463
75,-39.1,0.001451,1.4879,1.4893,19.93,1278.2,1298.1,20,1389.8,1409.8,0.291,5.9391,6.2301
79.7,-38,0.001454,1.406,1.4075,25.33,1274.1,1299.5,25.4,1386.2,1411.6,0.314,5.8948,6.2089
80,-37.9,0.001455,1.4007,1.4021,25.69,1273.9,1299.6,25.8,1385.9,1411.7,0.3156,5.8919,6.2075
85,-36.8,0.001458,1.3235,1.3249,31.14,1269.8,1300.9,31.3,1382.3,1413.5,0.3387,5.8475,6.1862
88.4,-36,0.00146,1.2753,1.2768,34.71,1267.1,1301.8,34.8,1379.9,1414.7,0.3538,5.8185,6.1723
90,-35.7,0.00146,1.2545,1.256,36.3,1265.9,1302.2,36.4,1378.8,1415.2,0.3605,5.8057,6.1661
95,-34.6,0.001463,1.1925,1.194,41.22,1262.2,1303.4,41.4,1375.5,1416.8,0.3812,5.766,6.1471
