kPa,Tsat,v,u,h,s
50,-46.5,-2.1759,-1289.3,-1398.1,-6.3732
50,-40,2.2427,1299.7,1411.9,6.4332
50,-30,2.345,1315.9,1433.1,6.5223
50,-20,2.4464,1332,1454.3,6.6077
50,-10,2.5471,1348.1,1475.5,6.6898
50,0,2.6474,1364.3,1496.6,6.7687
50,10,2.7472,1380.5,1517.8,6.8449
50,20,2.8466,1396.7,1539.1,6.9187
50,30,2.9458,1413.1,1560.4,6.9902
50,40,3.0447,1429.6,1581.8,7.0596
50,50,3.1435,1446.1,1603.3,7.1273
50,60,3.2417,1462.8,1624.9,7.1931
50,70,3.3406,1479.7,1646.7,7.2576
50,80,3.4389,1496.7,1668.6,7.3205
50,90,3.5373,1513.8,1690.7,7.3821
50,100,3.6355,1531.1,1712.9,7.4425
75,-39.1,-1.4893,-1298.1,-1409.8,-6.2301
75,-30,1.5534,1313.3,1429.8,6.3137
75,-20,1.6223,1329.8,1451.4,6.4011
75,-10,1.6906,1346.2,1473,6.4846
75,0,1.7583,1362.6,1494.5,6.5648
75,10,1.8255,1379.1,1516,6.642
75,20,1.8924,1395.5,1537.5,6.7166
75,30,1.9591,1412,1559,6.7887
75,40,2.0255,1428.6,1580.5,6.8587
75,50,2.0917,1445.3,1602.2,6.9267
75,60,2.1574,1462.1,1623.9,6.9929
75,70,2.2237,1479,1645.8,7.0576
75,80,2.2895,1496,1667.8,7.1208
75,90,2.3553,1513.3,1689.9,7.1826
75,100,2.421,1530.6,1712.2,7.2431
100,-33.6,-1.1381,-1304.6,-1418.4,-6.1292
100,-30,1.1573,1310.7,1426.4,6.1424
100,-20,1.2102,1327.5,1448.6,6.2518
100,-10,1.2622,1344.3,1470.5,6.3369
100,0,1.3137,1361,1492.4,6.4184
100,10,1.3647,1377.7,1514.1,6.4966
100,20,1.4153,1394.3,1535.8,6.5719
100,30,1.4657,1411,1557.5,6.6447
100,40,1.5158,1427.7,1579.3,6.7152
100,50,1.5658,1444.5,1601,6.7837
100,60,1.6153,1461.3,1622.9,6.8502
100,70,1.6652,1478.3,1644.8,6.9152
100,80,1.7148,1495.4,1666.9,6.9786
100,90,1.7643,1512.7,1689.1,7.0406
100,100,1.8137,1530.1,1711.5,7.1013
125,-29.1,-0.9237,-1309.6,-1425.1,-6.0511
125,-20,0.9627,1325.3,1445.6,6.1337
125,-10,1.0052,1342.4,1468,6.2206
125,0,1.0469,1359.4,1490.2,6.3034
125,10,1.0881,1376.2,1512.3,6.3826
125,20,1.129,1393.1,1534.2,6.4588
125,30,1.1696,1409.9,1556.1,6.5322
125,40,1.21,1426.7,1578,6.6032
125,50,1.2502,1443.6,1599.9,6.6721
125,60,1.2903,1460.6,1621.9,6.739
125,70,1.3302,1477.6,1643.9,6.8042
125,80,1.37,1494.8,1666,6.8679
125,90,1.4097,1512.1,1688.3,6.93
125,100,1.4494,1529.6,1710.7,6.9909
150,-25.2,-0.7787,-1313.8,-1430.6,-5.9874
150,-20,0.79774,1323,1442.6,6.0355
150,-10,0.8338,1340.4,1465.5,6.1241
150,0,0.86901,1357.7,1488,6.2082
