Tsat,Psat,vf,vfg,vg,uf,ufg,ug,hf,hfg,hg,sf,sfg,sg
-48,45.8,0.001429,2.3606,2.3621,-23.45,1310.9,1287.4,-23.4,1419,1395.6,0.102,6.3023,6.4043
-46,51.4,0.001434,2.1192,2.1206,-13.47,1303.3,1289.9,-13.4,1412.3,1398.9,0.1461,6.2173,6.3635
-44,57.5,0.001439,1.9067,1.9081,-3.65,1296,1292.3,-3.6,1405.7,1402.1,0.1892,6.1344,6.3236
-42,64.3,0.001444,1.7192,1.7207,6.03,1288.7,1294.7,6.1,1399.2,1405.3,0.2312,6.0533,6.2845
-40,71.6,0.001449,1.553,1.5545,15.86,1281.3,1297.1,16,1392.5,1408.5,0.2736,5.9727,6.2463
-38,79.7,0.001454,1.406,1.4075,25.33,1274.1,1299.5,25.4,1386.2,1411.6,0.314,5.8948,6.2089
-36,88.4,0.00146,1.2753,1.2768,34.71,1267.1,1301.8,34.8,1379.9,1414.7,0.3538,5.8185,6.1723
-34,97.9,0.001465,1.159,1.1604,44.01,1260.1,1304.1,44.2,1373.6,1417.7,0.3928,5.7436,6.1365
-32,108.3,0.00147,1.0551,1.0566,53.25,1253.1,1306.3,53.4,1367.3,1420.7,0.4313,5.6701,6.1014
-30,119.5,0.001476,0.9623,0.9637,62.44,1246.1,1308.6,62.6,1361.1,1423.7,0.4692,5.5977,6.067
-28,131.6,0.001481,0.879,0.8805,71.58,1239.2,1310.8,71.8,1354.8,1426.6,0.5067,5.5265,6.0332
-26,144.6,0.001487,0.8043,0.8058,80.7,1232.2,1312.9,80.9,1348.5,1429.5,0.5437,5.4564,6.0001
-24,158.7,0.001492,0.7371,0.7386,89.79,1225.3,1315,90,1342.2,1432.3,0.5804,5.3873,5.9677
-22,173.9,0.001498,0.6765,0.678,98.87,1218.3,1317.1,99.1,1335.9,1435,0.6167,5.3192,5.9358
-20,190.2,0.001504,0.6219,0.6234,107.94,1211.3,1319.2,108.2,1329.5,1437.7,0.6527,5.2519,5.9046
-18,207.7,0.001509,0.5724,0.5739,117.02,1204.2,1321.2,117.3,1323.1,1440.4,0.6884,5.1855,5.8739
